"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,"80,880",+36,"3,213",+14,"67,769","9,898","3,226",56.2
Italy,"24,747",,"1,809",,"2,335","20,603","1,672",409.3
Iran,"13,938",,724,,"4,590","8,624",,165.9
Spain,"8,744",+756,294,,517,"7,933",272,187.0
S. Korea,"8,236",+74,75,,"1,137","7,024",59,160.6
Germany,"6,215",+402,13,,46,"6,156",2,74.2
France,"5,423",,127,,12,"5,284",400,83.1
USA,"3,802",+122,69,+1,73,"3,660",10,11.5
Switzerland,"2,217",,14,,4,"2,199",,256.2
UK,"1,391",,35,,20,"1,336",20,20.5
Norway,"1,266",+10,3,,1,"1,262",27,233.5
Netherlands,"1,135",,20,,2,"1,113",45,66.2
Belgium,"1,058",+172,5,+1,1,"1,052",33,91.3
Sweden,"1,043",+3,6,+3,1,"1,036",2,103.3
Austria,"1,018",+158,2,+1,6,"1,010",1,113.0
Denmark,898,+34,4,+2,1,893,2,155.0
Japan,845,+6,25,+1,144,676,36,6.7
Diamond Princess,696,,7,,456,233,15,
Malaysia,553,+125,,,42,511,9,17.1
Qatar,401,,,,4,397,,139.2
Australia,375,+75,5,,27,343,1,14.7
Canada,341,,1,,11,329,1,9.0
Greece,331,,4,,8,319,5,31.8
Czechia,298,+5,,,,298,2,27.8
Finland,269,+25,,,10,259,1,48.5
Israel,250,+37,,,4,246,4,28.9
Portugal,245,,,,3,242,9,24.0
Singapore,226,,,,105,121,11,38.6
Bahrain,221,+7,1,+1,77,143,1,129.9
Slovenia,219,,1,,,218,3,105.3
Estonia,205,+34,,,1,204,,154.5
Brazil,203,+3,,,2,201,2,1.0
Iceland,180,,,,,180,1,
Ireland,170,,2,,5,163,6,34.4
Romania,158,+19,,,9,149,1,8.2
Poland,150,+25,3,,,147,3,4.0
Hong Kong,149,,4,,81,64,4,19.9
Philippines,140,,12,,5,123,1,1.3
Indonesia,134,+17,5,,8,121,,0.5
India,129,+15,2,,13,114,,0.1
Egypt,126,,2,,32,92,,1.2
Iraq,124,,10,,26,88,,3.1
Kuwait,123,+11,,,9,114,4,28.8
Saudi Arabia,118,,,,3,115,,3.4
Thailand,114,,1,,35,78,1,1.6
San Marino,109,,7,,4,98,11,
Lebanon,99,,3,,1,95,3,14.5
UAE,98,,,,23,75,2,9.9
Pakistan,94,+41,,,2,92,,0.4
Luxembourg,81,+4,1,,,80,10,
Chile,75,,,,,75,,3.9
Peru,71,,,,,71,,2.2
Russia,63,,,,8,55,,0.4
Slovakia,61,,,,,61,,11.2
South Africa,61,,,,,61,,1.0
Taiwan,59,,1,,20,38,,2.5
Vietnam,57,,,,16,41,,0.6
Argentina,56,,2,,3,51,1,1.2
Croatia,56,+7,,,3,53,,13.6
Panama,55,,1,,,54,,12.7
Serbia,55,+7,,,1,54,2,6.3
Algeria,54,,4,,10,40,,1.2
Mexico,53,+10,,,4,49,1,0.4
Bulgaria,52,+1,2,,,50,,7.5
Albania,51,+9,1,,,50,2,17.7
Brunei,50,,,,,50,,
Colombia,45,+11,,,,45,,0.9
Hungary,39,+7,1,,1,37,,4.0
Palestine,39,+1,,,,39,,7.6
Ecuador,37,,2,,,35,1,2.1
Belarus,36,+9,,,3,33,,3.8
Costa Rica,35,,,,,35,3,6.9
Latvia,34,+4,,,1,33,,18.0
Georgia,33,,,,1,32,1,8.3
Cyprus,33,,,,,33,1,27.3
Armenia,30,+2,,,1,29,2,10.1
Morocco,29,+1,1,,1,27,1,0.8
Azerbaijan,25,+2,1,,6,18,,2.5
Senegal,24,,,,2,22,,1.4
Bosnia and Herzegovina,24,,,,,24,,7.3
Moldova,23,,,,,23,1,5.7
Oman,22,,,,9,13,,4.3
Afghanistan,21,+5,,,1,20,,0.5
Sri Lanka,21,+3,,,1,20,,1.0
Malta,21,,,,2,19,,
Tunisia,20,,,,,20,2,1.7
North Macedonia,19,,,,1,18,,9.1
Faeroe Islands,18,+7,,,,18,,
Turkey,18,,,,,18,,0.2
Venezuela,17,,,,,17,,0.6
Jordan,16,+4,,,1,15,,1.6
Burkina Faso,15,+12,,,,15,,0.7
Martinique,15,+5,,,,15,,
Lithuania,14,,,,1,13,,5.1
Maldives,13,,,,,13,,
Cambodia,12,,,,1,11,,0.7
Macao,11,,,,10,1,,
Dominican Republic,11,,,,,11,,1.0
Bolivia,11,+1,,,,11,,0.9
Jamaica,10,,,,2,8,,3.4
Kazakhstan,9,,,,,9,,0.5
Réunion,9,+2,,,,9,,
New Zealand,8,,,,,8,,1.7
Bangladesh,8,+3,,,3,5,,
Paraguay,8,,,,,8,1,1.1
Uruguay,8,+2,,,,8,,2.3
Guyana,7,+3,1,,,6,,
French Guiana,7,,,,,7,,
Liechtenstein,7,,,,,7,,
Ghana,6,,,,,6,,0.2
Guadeloupe,6,+1,,,,6,,
Honduras,6,+3,,,,6,,0.6
Uzbekistan,6,+2,,,,6,,0.2
Ukraine,5,+2,1,,,4,,0.1
Andorra,5,,,,,5,,
Ethiopia,5,+1,,,,5,,
Puerto Rico,5,,,,,5,,1.7
Rwanda,5,,,,,5,,0.4
Cameroon,4,,,,,4,,0.2
Ivory Coast,4,,,,,4,,0.2
Cuba,4,,,,,4,,0.4
Trinidad and Tobago,4,+2,,,,4,,2.9
Channel Islands,3,,,,,3,,
French Polynesia,3,,,,,3,,
Guam,3,,,,,3,,
Kenya,3,,,,,3,,0.1
St. Barth,3,+2,,,,3,,
Seychelles,3,,,,,3,,
Guatemala,2,+1,1,,,1,,0.1
Monaco,2,,,,,2,,
Nigeria,2,,,,1,1,,
Aruba,2,,,,,2,,
Curaçao,2,,,,,2,,
DRC,2,,,,,2,,
Namibia,2,,,,,2,,0.8
Saint Lucia,2,,,,,2,,
Saint Martin,2,,,,,2,,
Sudan,1,,1,,,0,,
Nepal,1,,,,1,0,,
Antigua and Barbuda,1,,,,,1,,
Bahamas,1,,,,,1,,
Bhutan,1,,,,,1,,
Cayman Islands,1,,,,,1,,
CAR,1,,,,,1,,0.2
Congo,1,,,,,1,,0.2
Equatorial Guinea,1,,,,,1,,0.7
Gabon,1,,,,,1,,0.4
Gibraltar,1,,,,1,0,,
Guinea,1,,,,,1,,0.1
Vatican City,1,,,,,1,,
Liberia,1,+1,,,,1,,0.2
Mauritania,1,,,,,1,,0.2
Mayotte,1,,,,,1,,
Mongolia,1,,,,,1,,0.3
St. Vincent Grenadines,1,,,,,1,,
Suriname,1,,,,,1,,
Eswatini,1,,,,,1,,0.9
Togo,1,,,,,1,,0.1
U.S. Virgin Islands,1,,,,,1,,
