"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,"80,894",+13,"3,237",+11,"69,614","8,043","2,622",56
Italy,"31,506",,"2,503",,"2,941","26,062","2,060",521
Iran,"17,361","+1,192","1,135",+147,"5,389","10,837",,207
Spain,"13,910","+2,084",623,+90,"1,081","12,206",563,298
Germany,"10,082",+715,27,+1,73,"9,982",2,120
S. Korea,"8,413",+93,84,+3,"1,540","6,789",59,164
France,"7,730",,175,,602,"6,953",699,118
USA,"6,535",+124,116,+7,106,"6,313",12,20
Switzerland,"2,742",,27,,15,"2,700",,317
Netherlands,"2,051",+346,58,+15,2,"1,991",45,120
UK,"1,950",,71,,65,"1,814",20,29
Norway,"1,527",+56,5,+2,1,"1,521",27,282
Belgium,"1,486",+243,14,+4,14,"1,458",33,128
Austria,"1,471",+139,3,+-1,9,"1,459",12,163
Sweden,"1,196",,8,,1,"1,187",12,118
Denmark,"1,044",+67,4,,1,"1,039",24,180
Japan,889,+11,29,,144,716,41,7
Malaysia,790,+117,2,,60,728,15,24
Diamond Princess,712,,7,,456,249,14,
Portugal,642,+194,2,+1,4,636,18,63
Canada,598,,8,,12,578,1,16
Australia,565,+110,6,+1,43,516,1,22
Czechia,464,+30,,,3,461,3,43
Qatar,442,,,,4,438,,153
Israel,427,+90,,,11,416,5,49
Greece,387,,5,,14,368,11,37
Finland,359,+37,,,10,349,2,65
Brazil,350,+4,1,,2,347,18,2
Singapore,313,+47,,,114,199,14,54
Ireland,292,,2,,5,285,6,59
Slovenia,286,+11,1,,,285,4,138
Pakistan,272,+25,,,2,270,,1
Estonia,258,+33,,,1,257,1,194
Bahrain,255,+14,1,,88,166,3,150
Poland,251,+13,5,,1,245,3,7
Iceland,250,+3,,,5,245,1,733
Romania,246,+29,,,19,227,5,13
Chile,238,+37,,,,238,3,12
Indonesia,227,+55,19,+12,11,197,,0.8
Thailand,212,+35,1,,41,170,1,3
Luxembourg,203,+63,2,+1,,201,1,324
Philippines,202,+15,17,+3,4,181,1,2
Egypt,196,,6,,26,164,,2
Hong Kong,181,+13,4,,92,85,4,24
Saudi Arabia,171,,,,6,165,,5
Iraq,164,+10,12,+1,41,111,,4
Ecuador,155,+44,2,,,153,2,9
India,152,+9,3,,14,135,,0.1
Russia,147,+33,,,8,139,,1
Kuwait,142,+12,,,15,127,4,33
Lebanon,133,+9,4,,4,125,3,19
San Marino,119,,11,,4,104,11,"3,507"
Peru,117,,,,1,116,8,4
South Africa,116,+31,,,,116,,2
UAE,113,,,,26,87,2,11
Slovakia,105,+8,,,,105,2,19
Taiwan,100,+23,1,,20,79,,4
Turkey,98,,1,,,97,,1
Mexico,93,+11,,,4,89,1,0.7
Panama,86,+17,1,,,85,7,20
Armenia,84,+6,,,1,83,2,28
Serbia,83,+11,,,1,82,4,9
Bulgaria,81,,2,,,79,,12
Croatia,81,+12,,,5,76,,20
Argentina,79,,2,,3,74,1,2
Colombia,75,+10,,,1,74,,1
Algeria,72,+11,6,+1,10,56,,2
Latvia,71,+11,,,1,70,,38
Vietnam,68,+2,,,16,52,,0.7
Brunei,68,+12,,,,68,2,155
Albania,59,+4,2,+1,,57,2,21
Hungary,58,+8,1,,2,55,4,6
Faeroe Islands,58,+11,,,1,57,,"1,187"
Belarus,51,+15,,,5,46,,5
Sri Lanka,51,+7,,,3,48,,2
Costa Rica,50,,,,,50,3,10
Uruguay,50,,,,,50,,14
Morocco,49,+5,2,,1,46,1,1
Cyprus,49,,,,,49,1,41
Jordan,48,,,,1,47,,5
Malta,48,+10,,,2,46,,109
Palestine,44,,,,,44,,9
Andorra,39,,,,1,38,,505
Georgia,38,+4,,,1,37,1,10
Bosnia and Herzegovina,38,+4,,,2,36,,12
Kazakhstan,36,+3,,,,36,,2
Venezuela,36,+3,,,,36,,1
Cambodia,35,+2,,,1,34,,2
North Macedonia,35,+4,,,1,34,1,17
Azerbaijan,34,,1,,6,27,,3
Lithuania,33,+7,,,1,32,1,12
Oman,33,,,,12,21,,6
Senegal,31,+4,,,2,29,,2
Moldova,30,,1,+1,1,28,2,7
Tunisia,29,+2,,,1,28,2,2
Guadeloupe,27,+9,,,,27,,67
Afghanistan,22,,,,1,21,,0.6
Dominican Republic,21,,1,,,20,,2
Burkina Faso,20,+5,1,+1,,19,,1.0
New Zealand,20,,,,,20,,4
Martinique,19,+4,1,,,18,,51
Liechtenstein,19,,,,,19,,498
Macao,15,+2,,,10,5,,23
Uzbekistan,15,+4,,,,15,,0.4
Ukraine,14,,2,,,12,,0.3
Bangladesh,14,+4,1,+1,3,10,,0.09
Jamaica,13,,,,2,11,,4
Maldives,13,,,,,13,,24
Bolivia,12,,,,,12,,1
Réunion,12,+3,,,,12,,13
