"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,"80,928",+34,"3,245",+8,"70,420","7,263","2,274",56
Italy,"35,713",,"2,978",,"4,025","28,710","2,257",591
Iran,"18,407","+1,046","1,284",+149,"5,710","11,413",,219
Spain,"17,147","+2,378",767,+129,"1,107","15,273",800,367
Germany,"13,632","+1,305",33,+5,113,"13,486",2,163
USA,"9,479",+220,155,+5,108,"9,216",64,29
France,"9,134",,264,,602,"8,268",931,140
S. Korea,"8,565",+152,91,+7,"1,947","6,527",59,167
Switzerland,"3,939",+824,36,+3,15,"3,888",,455
UK,"2,626",,108,+4,65,"2,453",20,39
Netherlands,"2,460",+409,76,+18,2,"2,382",45,144
Austria,"1,843",+197,5,+1,9,"1,829",12,205
Belgium,"1,795",+309,21,+7,165,"1,609",130,155https://postimages.org/
Norway,"1,704",+113,6,,1,"1,697",27,314
Sweden,"1,423",+122,10,,16,"1,397",21,141
Denmark,"1,132",+75,6,+2,1,"1,125",30,195
Japan,923,+9,32,+3,191,700,46,7
Malaysia,900,+110,2,,75,823,15,28
Portugal,785,+143,3,+1,4,778,20,77
Canada,727,,9,,12,706,1,19
Diamond Princess,712,,7,,527,178,14,
Australia,709,+113,6,,46,657,1,28
Czechia,572,+50,,,3,569,5,53
Brazil,532,+3,4,,2,526,18,3
Israel,529,+96,,,13,516,6,61
Qatar,452,,,,4,448,,157
Greece,418,,6,+1,14,398,20,40
Finland,400,+41,,,10,390,2,72
Pakistan,380,+73,2,,13,365,,2
Ireland,366,,2,,5,359,6,74
Singapore,345,+32,,,117,228,14,59
Chile,342,+104,,,,342,3,18
Luxembourg,335,+132,4,+2,,331,1,535
Iceland,330,+80,,,5,325,1,967
Poland,325,+38,5,,13,307,3,9
Slovenia,319,+33,1,,,318,6,153
Indonesia,309,+82,25,+6,15,269,,1
Romania,277,+17,,,25,252,5,14
Thailand,272,+60,1,,42,229,1,4
Bahrain,268,+12,1,,100,167,4,158
Estonia,267,+9,,,1,266,1,201
Saudi Arabia,238,,,,6,232,,7
Philippines,217,+15,17,,8,192,1,2
Egypt,210,,6,,28,176,,2
Hong Kong,208,+15,4,,98,106,4,28
Russia,199,+52,1,+1,8,190,,1
India,197,+28,4,+1,20,173,,0.1
Turkey,191,,2,,,189,,2
Iraq,177,+13,12,,49,116,,4
Ecuador,168,,3,,1,164,2,10
Peru,155,+10,,,1,154,8,5
South Africa,150,+34,,,,150,,3
Lebanon,149,+16,4,,4,141,3,22
Kuwait,148,+6,,,18,130,5,35
San Marino,140,,14,,4,122,11,"4,126"
UAE,140,+27,,,26,114,2,14
Armenia,122,+12,,,1,121,2,41
Mexico,118,+25,1,+1,4,113,1,0.9
Panama,109,,1,,,108,7,25
Taiwan,108,+8,1,,26,81,,5
Slovakia,107,+2,,,,107,2,20
Croatia,102,+13,1,+1,5,96,,25
Colombia,102,+9,,,1,101,,2
Argentina,97,,3,+1,3,91,,2
Serbia,97,+8,,,1,96,4,11
Bulgaria,94,+2,3,+1,,91,,14
Latvia,86,+15,,,1,85,,46
Algeria,82,+7,9,+2,32,41,,2
Uruguay,79,,,,,79,,23
Vietnam,76,,,,16,60,,0.8
Hungary,73,+15,1,,2,70,4,8
Brunei,73,+5,,,,73,2,167
Faeroe Islands,72,+14,,,1,71,,"1,474"
Costa Rica,69,,1,,,68,2,14
Albania,64,+5,2,,,62,2,22
Morocco,61,+7,2,,1,58,1,2
Sri Lanka,60,+9,,,3,57,,3
Cyprus,58,,,,,58,1,48
Jordan,56,,,,1,55,,5
Andorra,53,,,,1,52,,686
Malta,53,+5,,,2,51,,120
Belarus,51,,,,5,46,,5
Palestine,47,+3,,,,47,,9
Bosnia and Herzegovina,45,+6,,,2,43,,14
Azerbaijan,44,+10,1,,7,36,,4
Kazakhstan,44,+8,,,,44,,2
North Macedonia,43,,,,1,42,1,21
Georgia,40,+2,,,1,39,1,10
Oman,39,,,,13,26,,8
Tunisia,39,+10,,,1,38,2,3
Cambodia,37,,,,1,36,,2
Moldova,36,,1,,1,34,3,9
Lithuania,36,+2,,,1,35,1,13
Senegal,36,,,,2,34,,2
Venezuela,36,,,,,36,,1
Dominican Republic,34,,2,,,32,,3
Burkina Faso,33,+6,1,,,32,,2
Guadeloupe,33,,,,,33,,82
New Zealand,28,+8,,,,28,,6
Liechtenstein,28,,,,,28,,734
Martinique,23,,1,,,22,,61
Uzbekistan,23,+5,,,,23,,0.7
Afghanistan,22,,,,1,21,,0.6
Bangladesh,18,+4,1,,3,14,,0.1
Macao,17,,,,10,7,,26
Ukraine,16,,2,,,14,,0.4
Jamaica,15,,1,,2,12,,5
Bolivia,15,+3,,,,15,,1
French Guiana,15,,,,,15,,50
DRC,14,+7,,,,14,,0.2
Réunion,14,,,,,14,,16
Cameroon,13,,,,,13,,0.5
Maldives,13,,,,,13,,24
Nigeria,12,+4,,,1,11,,0.06
Guam,12,+4,,,,12,,71
Honduras,12,+3,,,,12,,1
Cuba,11,+1,1,,,10,,1.0
Paraguay,11,,,,,11,1,2
Rwanda,11,,,,,11,,0.8
Monaco,9,,,,,9,,229
Ivory Coast,9,,,,1,8,,0.3
Ghana,9,+2,,,,9,,0.3
Trinidad and Tobago,9,+2,,,,9,,6
Guatemala,8,,1,,,7,,0.4
Gibraltar,8,,,,2,6,,237
Montenegro,8,,,,,8,,13
Channel Islands,7,,,,,7,,40
Kenya,7,,,,,7,,0.1
Ethiopia,6,,,,,6,,0.05
French Polynesia,6,+1,,,,6,,21
Mongolia,6,,,,,6,,2
Puerto Rico,6,,,,,6,,2
Seychelles,6,,,,,6,,61
Tanzania,6,+3,,,,6,,0.1
Guyana,5,+1,1,,,4,,6
Aruba,4,,,,,4,,37
Equatorial Guinea,4,,,,,4,,3
Curaçao,3,,1,+1,,2,,18
Bahamas,3,+2,,,,3,,8
Gabon,3,,,,,3,,1
Kyrgyzstan,3,,,,,3,,0.5
Mauritius,3,,,,,3,,2
Mayotte,3,,,,,3,,11
St. Barth,3,,,,,3,,304
Saint Martin,3,,,,,3,,78
U.S. Virgin Islands,3,+1,,,,3,,29
Sudan,2,,1,,,1,,0.05
Barbados,2,,,,,2,,7
Benin,2,,,,,2,,0.2
Bermuda,2,,,,,2,,32
Greenland,2,,,,,2,,35
Liberia,2,,,,,2,,0.4
Mauritania,2,,,,,2,,0.4
Namibia,2,,,,,2,,0.8
New Caledonia,2,,,,,2,,7
Saint Lucia,2,,,,,2,,11
Zambia,2,,,,,2,,0.1
Cayman Islands,1,,1,,,0,,15
Nepal,1,,,,1,0,,0.03
Antigua and Barbuda,1,,,,,1,,10
Bhutan,1,,,,,1,,1
CAR,1,,,,,1,,0.2
Congo,1,,,,,1,,0.2
Djibouti,1,,,,,1,,1
El Salvador,1,+1,,,,1,,0.2
